Date,Open,High,Low,Close,Volume,Adj Close
19/04/2016,6353.5,6418.299805,6353.5,6405.399902,784224000,6405.399902
18/04/2016,6343.799805,6354.899902,6261.700195,6353.5,594992600,6353.5
15/04/2016,6365.100098,6372.5,6328.200195,6343.799805,757416400,6343.799805
14/04/2016,6362.899902,6373.899902,6335.399902,6365.100098,827513200,6365.100098
13/04/2016,6242.399902,6362.899902,6242.399902,6362.899902,929198000,6362.899902
12/04/2016,6200.100098,6248.299805,6176.299805,6242.399902,669433600,6242.399902
11/04/2016,6204.399902,6229.700195,6165.5,6200.100098,536008900,6200.100098
08/04/2016,6136.899902,6216.299805,6136.899902,6204.399902,603464000,6204.399902
07/04/2016,6161.600098,6204.100098,6119.399902,6136.899902,739096200,6136.899902
06/04/2016,6091.200195,6161.600098,6091.200195,6161.600098,716501500,6161.600098
05/04/2016,6164.700195,6164.700195,6061.899902,6091.200195,801242300,6091.200195
04/04/2016,6146.100098,6202,6132.899902,6164.700195,530284200,6164.700195
01/04/2016,6174.899902,6174.899902,6076.899902,6146.100098,725054600,6146.100098
31/03/2016,6203.200195,6203.399902,6149.799805,6174.899902,724007600,6174.899902
30/03/2016,6105.899902,6221.799805,6105.899902,6203.200195,779696700,6203.200195
29/03/2016,6106.5,6156.700195,6070.799805,6105.899902,582189300,6105.899902
24/03/2016,6199.100098,6199.100098,6090,6106.5,606523700,6106.5
23/03/2016,6192.700195,6216.799805,6171.100098,6199.100098,603287100,6199.100098
22/03/2016,6184.600098,6193.5,6110.399902,6192.700195,716814900,6192.700195
21/03/2016,6189.600098,6215.299805,6154.100098,6184.600098,516111500,6184.600098
18/03/2016,6201.100098,6237,6186.200195,6189.600098,1095973700,6189.600098
17/03/2016,6175.5,6220,6125.700195,6201.100098,807636500,6201.100098
16/03/2016,6140,6186.200195,6134.299805,6175.5,679738500,6175.5
15/03/2016,6174.600098,6174.600098,6114.799805,6140,679303900,6140
14/03/2016,6139.799805,6197.799805,6139.799805,6174.600098,668605400,6174.600098
11/03/2016,6036.700195,6150.899902,6036.700195,6139.799805,700052600,6139.799805
10/03/2016,6146.299805,6203.399902,6036.700195,6036.700195,1024618000,6036.700195
09/03/2016,6125.399902,6174.799805,6118.200195,6146.299805,735581400,6146.299805
08/03/2016,6182.399902,6182.5,6101.899902,6125.399902,886111500,6125.399902
07/03/2016,6199.399902,6216.100098,6125.600098,6182.399902,793417200,6182.399902
04/03/2016,6130.5,6204.100098,6130.5,6199.399902,840450500,6199.399902
03/03/2016,6147.100098,6173.700195,6108.399902,6130.5,876988500,6130.5
02/03/2016,6152.899902,6194,6097.799805,6147.100098,878482700,6147.100098
01/03/2016,6097.100098,6153.799805,6070.5,6152.899902,905617400,6152.899902
29/02/2016,6096,6105,6033.200195,6097.100098,931711000,6097.100098
26/02/2016,6012.799805,6115.399902,6012.799805,6096,833169500,6096
25/02/2016,5867.200195,6029,5867.200195,6012.799805,0,6012.799805
24/02/2016,5962.299805,5966.700195,5845.600098,5867.200195,809642000,5867.200195
23/02/2016,6037.700195,6037.700195,5954.200195,5962.299805,725213500,5962.299805
22/02/2016,5950.200195,6065.799805,5950.200195,6037.700195,797443800,6037.700195
19/02/2016,5972,6001.200195,5916.299805,5950.200195,672114300,5950.200195
18/02/2016,6030.299805,6036.5,5948.299805,5972,785745600,5972
17/02/2016,5862.200195,6030.299805,5862.200195,6030.299805,921163400,6030.299805
16/02/2016,5824.299805,5880.700195,5812.5,5862.200195,747963000,5862.200195
15/02/2016,5707.600098,5844.5,5707.600098,5824.299805,702916100,5824.299805
12/02/2016,5537,5707.600098,5537,5707.600098,1051089200,5707.600098
11/02/2016,5672.299805,5672.299805,5499.5,5537,0,5537
10/02/2016,5632.200195,5712.799805,5616.899902,5672.299805,964970500,5672.299805
